3.51934	0
4.65572	0
5.11087	0
5.61052	0
6.15902	0
6.76114	0
7.42212	0
8.14773	0
8.94427	0
9.81869	0
10.7786	0
11.8323	0
12.9891	0
14.2589	0
15.6529	0
17.1832	0
18.863	0
20.7071	0
22.7315	0
24.9538	0
27.3934	0
30.0714	0
33.0113	0
36.2385	0
39.7813	0
43.6704	0
47.9397	0
52.6264	0
57.7713	0
63.4192	0
69.6192	0
76.4253	0
83.8969	0
92.0988	0
101.103	0
110.987	0
121.837	0
133.748	0
146.824	0
161.177	0
176.935	0
194.232	0
213.221	0
234.066	0
256.948	0
282.068	0
309.644	0
339.916	0
373.147	0
409.626	0
449.672	0
493.633	22.1327
541.892	45.1032
594.869	27.9204
653.025	4.84379
716.866	0
786.949	0
863.883	0
948.338	0
1041.05	0
1142.83	0
1254.55	0
1377.2	0
1511.84	0
1659.64	0
1821.89	0
2000	

